@relation whatever-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute m_out numeric
@attribute income_per_person numeric
@attribute year numeric
@attribute m_in numeric

@data
144652912433.103,78.72,5862.952381,6144498,545246,32358,1995,2152873
46199009359.9339,70.1,114.945081,10351994,400912,15095,1995,313738
7181787873.86945,78.9,2.66801,267454,20831,27671,1995,12738
366600193391.349,59.9,323.179811,960874982,7209476,2069,1995,6824479
202132032843.808,66.1,108.722183,196957845,1949339,6111,1995,318970
96419225743.6737,69.9,37.038244,60318632,740016,10477,1995,2876948
?,65.3,46.225756,20217759,1310112,6353,1995,175951
914727080.643268,?,126.633333,72181,8266,?,1995,35239
99968784246.0067,77.4,256.238447,5331622,286289,22550,1995,1554408
1170787357066.44,78.1,193.275655,57120136,3250928,32731,1995,1774954
11000146839.497,52.5,45.296667,14404340,452389,2964,1995,2038795
5779285207.92079,74.7,228.993536,2489540,704184,8644,1995,20208
5333925511058.95,79.7,344.045529,124483305,646677,31224,1995,1358965
6727446632.42009,72.5,48.95918,4320158,334819,7516,1995,1534882
20374307047.115,63.6,5.85829,15925913,3309180,8079,1995,3245250
9046326059.98857,58.1,48.095433,27373035,260161,2199,1995,511762
57610600.444774,58.9,95.959259,77727,3795,1434,1995,1746
27191689008.0429,76.5,91.864815,1637031,94643,82268,1995,893634
1661018518.51852,65.1,23.776851,4592135,552214,1696,1995,498613
1763536299.18912,53.6,21.047548,4857774,536995,1908,1995,20911
5785037079.29264,66.5,39.955238,2487988,229003,8110,1995,538093
11718795528.4939,73.4,296.520626,3033406,529525,12254,1995,604819
859088528.025144,58.7,57.767589,1753824,137797,1466,1995,4024
134800000,50.9,21.593864,2079921,547790,142,1995,189728
25544128198.9955,74.6,2.77243,4878202,75679,23363,1995,508041
2428524711.5576,?,192.70625,30833,3059,?,1995,13250
7870782260.51698,69,57.898883,3628079,344304,10115,1995,259880
21803347564.3131,76.9,?,408148,29641,64568,1995,125818
6560637942.71945,76.56,19922.95,398459,95949,44465,1995,209502
3159901231.97468,57.2,23.132589,13452526,66389,1402,1995,15499
1397454122.24047,46.9,104.187654,9822812,138566,593,1995,189007
88704944178.6284,72.4,63.081339,20725374,781250,14035,1995,843822
398988954.970263,69.3,850,254070,1579,5264,1995,17826
2706425298.36818,51.4,7.900936,9640643,789113,1126,1995,157515
3599683395.46889,78.4,1157.603125,372391,110002,20720,1995,17594
120230000,65.2,283.444444,51020,4040,3562,1995,1305
1415296704.11812,61.2,2.264447,2333966,151355,2838,1995,88054
4040342060.18334,70.3,552.934483,1128676,111549,9062,1995,6936
343792780638.899,73,48.574781,94426946,6722383,12491,1995,456661
1752975841.35916,65.4,127.753989,4339082,619338,2596,1995,355733
3130270918.79061,?,15350,30700,4700,44514,1995,11581
1452165052.66093,61.7,1.479208,2298038,27413,4244,1995,6653
?,73.5,45.480446,620415,142507,7635,1995,0
39030285468.3841,69.5,60.860159,27161889,1735519,3870,1995,40348
2521738759.58885,52.7,20.235892,15913101,808535,465,1995,91089
?,59,68.413457,44710931,811128,1868,1995,99848
3942478205.72909,60.5,2.009273,1654214,27808,5900,1995,112236
?,?,498.5,9970,1027,14177,1995,2400
4401104417.67068,61.7,149.586748,21390905,854757,1405,1995,651911
446528959648.641,77.6,457.908945,15450803,735286,35244,1995,1343094
3628440274.67,72.16,10.602626,189198,3354,?,1995,40990
63918703506.9075,77,13.950856,3674886,418841,25476,1995,555116
4140470000,74.4,38.326649,4612229,431059,2934,1995,25561
1880803361.68562,49.5,7.390789,9361912,165706,811,1995,136035
28546958641.2735,55,119.047424,108424822,516189,2740,1995,361537
?,58.6,180.746367,21763670,54622,1442,1995,31613
?,?,125.03913,57518,2652,?,1995,31106
152027402449.804,77.9,11.934959,4359788,147132,50616,1995,223951
13802600780.2341,73.9,7.081952,2191864,13776,39194,1995,521084
60636022422.6176,61.8,159.038695,122599749,3329863,3255,1995,3665602
95237000,?,37.51087,17255,3371,13913,1995,4568
8371108300,75.3,36.832459,2738125,130019,8795,1995,70440
4636113480.00002,56.9,10.413658,4715929,4122,2139,1995,31809
9062131307.88275,74.1,11.983018,4760853,335317,6582,1995,181196
51990003413.4232,71.1,18.780282,24038761,496338,6198,1995,55861
74119987244.5011,68.8,234.214418,69835713,2467638,3973,1995,158916
139411289237.113,71.9,126.008025,38591860,1787515,11093,1995,918272
118133634071.912,75.5,109.575694,10078431,2097189,21975,1995,528127
42647331000,73.3,415.231454,3689649,1360910,28629,1995,328497
8137911978.02198,74.4,43.154091,501019,13178,77809,1995,353830
69217500631.3131,77.1,52.385557,3645333,804432,27439,1995,226892
4449375346.45669,71.8,76.820448,1953544,444148,7700,1995,107917
2116003868.17928,54,7.9686,42183620,111098,724,1995,185581
37662075750.123,69.4,98.846442,22965125,973490,10516,1995,122811
395531066563.296,64.4,9.059243,148293265,11657301,12013,1995,11920139
1293535192.20971,43.8,239.673895,5912755,2065506,695,1995,210742
