@relation 'whatever-weka.filters.unsupervised.attribute.Remove-R5,7-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute income_per_person numeric
@attribute m_in numeric

@data
2030749952,72.5,1194.92,62694,41999,15980
303053462.843047,63.8,12.786357,508897,2930,25828
6715220507.05164,64.4,6.984876,7566716,4068,82464
1866572953.73665,67,75.767148,3879278,1976,68250
4730611067.02258,56.8,2.781379,1576291,8823,35261
785643456467.255,69,19.47264,162755054,11108,713984
238284727566.4374,68.818541,122.833333,18425,15691.875833,8840
4734020036.68689,74.7,55.979127,295010,78406,83870
13063422619.0476,71,75.983612,8358116,8479,30380
2379518099.2266,51.3,36.878202,10089876,869,406520
1000428393.88528,44.5,242.952882,6239030,835,214117
3441205692.9166,58.1,60.584971,10694459,1091,86480
8733231184.34755,56.5,29.467485,13929575,2188,197678
604031623433.401,78,3.228016,29299478,32101,4859011
487148993.533109,68.3,96.564764,389156,2361,8922
238284727566.4374,68.818541,131.966667,31672,56588,14243
1115389731.79119,46.7,5.35465,3335840,881,75910
1445919969.89272,53.6,5.560383,7001634,1044,83902
238284727566.4374,68.818541,742.525773,29625425.15674,15691.875833,59282
71349202308.6423,75.4,19.089946,14193986,12759,142417
732032045217.766,68.4,128.336621,1227841281,2551,344062
92507277798.1985,72,33.746715,37441980,8643,106189
231896229.562629,58.9,257.696937,479574,1467,12435
11722357067.305,76.8,68.760772,3510925,8495,203856
22387561845.2244,73,83.509211,4616762,12543,563714
30428638304.4183,75,101.546071,10906048,9195,22432
238284727566.4374,68.818541,326.88964,143886,15691.875833,0
9914864165.58862,76.7,92.574567,855389,26445,61451
59537113790.5049,73.4,133.651521,10335556,19093,165592
5647034188.03419,52.6,18.607274,2721277,4715,1715920
185006961302.299,75.6,123.341339,5232582,36670,303108
497723960.589913,60.4,28.519241,661076,2315,93804
224037033.0804,72.8,95.156,71367,7148,2704
16358496124.031,72.6,163.336507,7892420,6188,322076
238284727566.4374,61.8,57.595091,856439,1477,8570
24432884442.2211,72.3,41.325589,11440576,7811,100213
60159245060.4542,67.4,62.719903,62434527,6553,157862
9500500000,70,269.726979,5588743,5589,39351
141853368.256815,48.5,15.983316,448332,1803,2934
578015625,57.8,31.327673,3164095,1438,11030
4373658536.58537,67.7,33.89087,1433076,10464,315177
7663984567.90123,49.2,57.237226,57237226,578,765390
238284727566.4374,68.818541,31.589542,44099,15691.875833,2799
222103600,65.4,153.651429,107556,3185,112634
1970347720.96992,64.5,42.446524,775498,6073,11396
134199346405.229,76.7,16.769395,5108176,27303,97820
1609892232882.11,78.2,108.73922,58224051,30823,6087993
3982374845.92709,70.43,58.797814,215200,15691.875833,24611
4958845906.34769,59.8,4.216436,1086449,19738,148958
2693731865.97036,70.7,82.823052,5067143,2298,272021
2591620035485.19,76.6,233.967491,81612900,33843,7130259
6465137614.6789,60,73.661734,16760991,2066,241780
238284727566.4374,68.818541,2728.5,27285,15691.875833,7115
136878366230.328,77.8,81.940675,10641169,21426,857850
1208953358.99709,66.5,0.163301,55809,17117,7235
276296296.296296,70.7,294.861765,100253,7522,3570
238284727566.4374,73,269.559259,145562,15691.875833,69255
14656917900.1721,66.9,96.653173,10357354,5836,156124
3693753379.05992,53.4,31.999972,7863033,1049,772910
253966919.939838,52.3,41.994203,1180877,1632,26883
621626785.915493,64.4,3.691618,726695,4533,5631
2813320255.29799,56.2,283.737518,7819806,1672,20863
3911053180.39625,70.1,49.969935,5591136,3344,149299
144652912433.103,78.72,5862.952381,6144498,32358,2152873
46199009359.9339,70.1,114.945081,10351994,15095,313738
7181787873.86945,78.9,2.66801,267454,27671,12738
366600193391.349,59.9,323.179811,960874982,2069,6824479
202132032843.808,66.1,108.722183,196957845,6111,318970
96419225743.6737,69.9,37.038244,60318632,10477,2876948
238284727566.4374,65.3,46.225756,20217759,6353,175951
914727080.643268,68.818541,126.633333,72181,15691.875833,35239
99968784246.0067,77.4,256.238447,5331622,22550,1554408
1170787357066.44,78.1,193.275655,57120136,32731,1774954
